name,popularity,track_number,duration_ms,explicit,added_at,artist_name,artist_followers,artist_popularity,genres,main_genre,main_album,release_date,album_tracks_number,station,followers,snapshot_id
Friday I'm In Love,77,7,215160,False,2022-01-01T14:24:15Z,The Cure,3497102,77,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",rock,Wish,1992-01-01,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Bad Romance,83,1,294573,True,2022-01-01T14:12:41Z,Lady Gaga,20487431,88,"['art pop', 'dance pop', 'pop']",pop,The Fame Monster (Deluxe Edition),2009-11-05,23,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Shape of You,87,4,233712,False,2022-01-01T14:04:11Z,Ed Sheeran,90180172,97,"['pop', 'uk pop']",pop,÷ (Deluxe),2017-03-03,16,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
House of Love,51,1,269626,False,2022-01-01T13:52:30Z,East 17,86535,59,"['boy band', 'eurodance', 'europop', 'hip house']",hip,Walthamstow,1992-01-01,14,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Careless Whisper,85,3,300106,False,2022-01-01T13:33:02Z,George Michael,3579442,78,[],other,Ladies And Gentlemen... The Best Of George Michael,1998-11-09,29,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
SexyBack (feat. Timbaland),80,2,242733,True,2022-01-01T13:28:07Z,Justin Timberlake,11531304,82,"['dance pop', 'pop']",pop,FutureSex/LoveSounds,2006-09-12,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Rehab,68,10,294720,False,2022-01-01T13:25:30Z,Rihanna,46430448,91,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",pop,Good Girl Gone Bad: Reloaded,2008-06-02,15,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Don't Tell Me,62,3,202013,False,2022-01-01T12:59:44Z,Avril Lavigne,8183597,80,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",pop,Under My Skin,2004,13,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Smooth (feat. Rob Thomas),71,5,294986,False,2022-01-01T12:49:20Z,Santana,2415956,74,"['blues rock', 'classic rock', 'mexican classic rock']",rock,Supernatural (Remastered),1999-06-15,14,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
כשאלוהים אמר בפעם הראשונה,33,1,259972,False,2022-01-01T12:43:20Z,Matti Caspi,101861,44,"['classic israeli pop', 'israeli rock']",pop,מתי כספי,1974-07-01,10,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
