name,popularity,track_number,duration_ms,explicit,added_at,artist_name,artist_followers,artist_popularity,genres,main_genre,main_album,release_date,album_tracks_number,station,followers,snapshot_id
Shining Star,65,1,170160,False,2022-01-01T12:41:06Z,"Earth, Wind & Fire",3257535,78,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",funk,That's The Way Of The World,1975-03-15,8,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
עולה עולה,31,3,187480,False,2022-01-01T12:38:07Z,Izhar Cohan,2655,29,['classic israeli pop'],pop,לילה טוב אירופה - אוסף שירי אירוויזיון,1998-01-04,24,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Last Train to London,71,5,270066,False,2022-01-01T12:32:41Z,Electric Light Orchestra,3076829,75,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",rock,Discovery,1979-05-31,9,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
קראת לי אסתר,21,3,189160,False,2022-01-01T12:27:09Z,Etti Ankri,23789,33,"['classic israeli pop', 'israeli singer-songwriter']",pop,קראת לי אסתר,1993-03-01,13,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
אהבה קצרה,39,1,228293,False,2022-01-01T12:22:07Z,Meir Banai,87947,43,"['classic israeli pop', 'israeli rock']",pop,וביניהם,1992-03-01,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Candle In The Wind (Goodbye England's Rose),15,1,244986,False,2022-01-01T12:17:48Z,"John White, Debiie Grant, Tracey and Morrison Taylor",171,4,[],other,Cover Masters: Music of Elton John,2005-11-15,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
מטריה בשניים,33,13,162386,False,2022-01-01T12:14:00Z,Lehakat HaNachal,13276,32,['classic israeli pop'],pop,שמש במדבר,1964-01-01,19,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
In The Army Now,68,5,281746,False,2022-01-01T11:57:36Z,Status Quo,600072,65,"['album rock', 'blues rock', 'british blues', 'classic rock', 'glam rock', 'hard rock', 'rock']",rock,In The Army Now,1986,17,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Eye of the Tiger,78,4,245640,False,2022-01-01T11:53:23Z,Survivor,795391,70,"['album rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",rock,Rocky IV,1985,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Ani Osa Li Manginot - Hakol Zahav,28,1,193145,False,2022-01-01T11:51:20Z,Sexta,1074,20,['classic israeli pop'],pop,Hakol Kalul,2016-10-04,58,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Heavy Cross,57,2,242773,False,2022-01-01T11:43:14Z,Gossip,306255,53,"['alternative dance', 'electropop', 'new rave', 'olympia wa indie']",other,Music For Men,2009-06-22,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
שנים חסומות,38,1,191413,False,2022-01-01T11:39:24Z,Monica Sex,82377,45,['israeli rock'],rock,חיות מחמד,2007-11-20,13,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Sing,72,1,228800,False,2022-01-01T11:38:05Z,Travis,884813,65,"['britpop', 'pop rock', 'rock']",rock,The Invisible Band,2001-06-12,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
אין עוד יום,42,7,323000,False,2022-01-01T11:29:49Z,Gidi Gov,115204,51,"['classic israeli pop', 'israeli rock']",pop,אין עוד יום,1991-09-01,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
קטורנה מסאלה,15,5,344826,False,2022-01-01T11:25:11Z,Ethnix,28186,39,"['classic israeli pop', 'mizrahi']",pop,מקסימום אתניקס - אוסף הלהיטים,2000-01-01,18,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Vogue,68,3,316813,False,2022-01-01T11:18:40Z,Madonna,5697395,80,"['dance pop', 'pop']",pop,Celebration (double disc version),2009-09-18,37,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
מוסיקה (מעלה מעלה),32,1,258173,False,2022-01-01T11:18:03Z,Svika Pick,19402,31,['classic israeli pop'],pop,מוסיקה,1978-12-01,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
I'm Every Woman - Lew Hahn Remix,21,12,243573,False,2022-01-01T11:11:11Z,Chaka Khan,1254093,67,"['dance pop', 'disco', 'funk', 'motown', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",soul,American Classics C90,2018-12-07,25,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Killing Me Softly With His Song,74,1,286920,False,2022-01-01T11:07:11Z,Roberta Flack,747562,66,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",soul,Killing Me Softly,1973-01-01,8,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Señorita,83,1,190960,False,2022-01-01T10:58:01Z,Shawn Mendes,35884234,89,"['canadian pop', 'dance pop', 'pop', 'viral pop']",pop,Señorita,2019-06-21,1,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Paradise,82,3,278719,False,2022-01-01T10:53:51Z,Coldplay,33368373,92,"['permanent wave', 'pop']",pop,Mylo Xyloto,2011-10-24,14,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
עונות,45,2,235000,False,2022-01-01T10:44:27Z,Aviv Geffen,125950,49,['israeli rock'],rock,המכתב,1996-01-05,14,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
הכוס הכחולה,34,5,267000,False,2022-01-01T10:42:28Z,Ivri Lider,132571,50,"['classic israeli pop', 'israeli pop', 'israeli rock', 'israeli singer-songwriter']",pop,יותר טוב כלום מכמעט,1999-01-01,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Wonderwall - Remastered,80,3,258773,False,2022-01-01T10:37:19Z,Oasis,6909257,80,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",rock,(What's The Story) Morning Glory? [Remastered],1995-10-02,40,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
I Want It That Way,82,2,213306,False,2022-01-01T10:32:02Z,Backstreet Boys,4249429,79,"['boy band', 'dance pop']",pop,Millennium,1999-05-18,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
קפה וסיגריה,44,10,248093,False,2022-01-01T04:29:04Z,Ravid Plotnik,179632,58,"['israeli hip hop', 'israeli trap']",hip,בור ועם הארץ,2013-05-12,18,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
לא רואה אותי,36,8,249319,False,2022-01-01T04:26:09Z,Eviatar Banai,192205,52,"['classic israeli pop', 'israeli rock']",pop,החיים מתחילים לנגן,2021-06-08,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Human - Tin Tin Out Mix,40,2,235066,False,2022-01-01T04:21:46Z,Pretenders,1119251,72,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'soft rock']",rock,Viva El Amor,1999-06-22,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Charlemagne,66,1,166791,False,2022-01-01T04:18:29Z,Blossoms,366326,62,"['english indie rock', 'modern alternative rock', 'modern rock', 'rock']",rock,Blossoms,2016-08-05,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
היא הולכת בדרכים,26,1,303840,False,2022-01-01T04:15:37Z,Alon Oleartchik,23882,33,"['classic israeli pop', 'israeli rock']",pop,אלון אולארצ׳יק,1985-01-01,9,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
שמש עלי אדמות,26,9,162816,False,2022-01-01T04:10:20Z,Shlomi Shaban,58648,39,"['israeli rock', 'israeli singer-songwriter']",rock,תרגיל בהתעוררות,2014-03-19,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
October Sky,55,7,194053,False,2022-01-01T04:07:19Z,Yebba,228139,69,"['alternative r&b', 'indie soul', 'pop soul']",soul,Dawn,2021-09-10,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Never Ever,63,1,387573,False,2022-01-01T04:02:51Z,All Saints,416623,58,"['bubblegum dance', 'dance pop', 'europop', 'girl group', 'new wave pop', 'pop rock']",pop,All Saints,1997,13,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
מישהו איתי כאן,51,1,220798,False,2022-01-01T03:59:01Z,Benaia Barabi,182966,51,['israeli mediterranean'],other,מישהו איתי כאן,2019-05-23,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
האור שבפנים,29,1,214620,False,2022-01-01T03:57:10Z,Yehuda Poliker,126693,42,"['classic israeli pop', 'israeli rock']",pop,האור שבפנים,2021-12-13,1,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
A Case of You,69,9,263480,False,2022-01-01T03:51:19Z,Joni Mitchell,1115866,70,"['canadian singer-songwriter', 'folk', 'folk rock', 'indie r&b', 'lilith', 'mellow gold', 'singer-songwriter']",singer-songwriter,Blue,1971-06-22,10,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
כל הדברים היפים באמת,51,8,167546,False,2022-01-01T03:46:51Z,Daniela Spector,24513,44,['israeli pop'],pop,כל הדברים היפים באמת,2014-12-01,10,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
יש בזה טעם,24,1,272560,False,2022-01-01T03:44:13Z,Dana Berger,13460,31,"['classic israeli pop', 'israeli rock']",pop,עד הקצה,2000-04-02,10,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Shout - U.S. Single Version,20,8,286458,False,2022-01-01T03:34:47Z,Tears For Fears,2218059,74,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",rock,Throwback Tunes: 80s,2017-10-20,20,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Unstoppable,79,5,217746,False,2022-01-01T03:28:07Z,Sia,21892148,91,"['australian dance', 'australian pop', 'pop']",pop,This Is Acting,2016-01-29,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
כוכבים קטנים,11,1,245160,False,2022-01-01T03:24:56Z,Einan Perel,47,4,[],other,כוכבים קטנים,2021-11-17,1,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Chill Out (Things Gonna Change),55,1,287253,False,2022-01-01T03:16:36Z,John Lee Hooker,713180,61,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'modern blues', 'soul', 'traditional blues']",blues,Chill Out,1995,14,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Jungle,68,4,315602,False,2022-01-01T03:13:13Z,Tash Sultana,1387878,67,['australian reggae fusion'],reggae,Notion,2017-03-01,6,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
פסטיבל,19,1,387813,False,2022-01-01T03:11:14Z,Avraham Tal,172391,51,['israeli pop'],pop,אברהם טל,2008-09-18,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
לא מצליחה לישון,9,1,142460,True,2022-01-01T03:06:44Z,Nati Tamam,39,2,[],other,לא מצליחה לישון,2021-11-21,1,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Moonlight Shadow,71,13,218186,False,2022-01-01T02:57:30Z,Mike Oldfield,475247,65,"['album rock', 'art rock', 'new age', 'progressive rock', 'symphonic rock']",rock,The Mike Oldfield Collection,2009-01-01,18,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
שים עין עלינו,29,4,200206,False,2022-01-01T02:56:03Z,Hatikva 6,148053,48,"['israeli hip hop', 'israeli pop']",hip,הכל עוד לפניי,2017-01-18,10,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
לא רואה,52,1,147428,False,2022-01-01T02:51:14Z,רוי סופר,348,36,[],other,לא רואה,2021-11-09,1,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
You Gotta Be,67,1,245200,False,2022-01-01T02:50:21Z,Des'ree,196352,60,['europop'],other,I Ain't Movin',1994-04-27,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Like Smoke,59,5,278000,True,2022-01-01T02:45:08Z,Amy Winehouse,7609824,79,"['british soul', 'indie r&b', 'neo soul']",soul,Lioness: Hidden Treasures,2011-01-01,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
מנגן ושר,24,13,289640,False,2022-01-01T02:41:18Z,Avner Gadasi,5297,27,"['classic israeli pop', 'mizrahi']",pop,להיטי זהב 70-90,2017-09-24,14,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Don't You Worry 'Bout A Thing,54,4,319333,False,2022-01-01T02:33:07Z,Incognito,145146,54,"['brit funk', 'modern funk']",funk,Tribes Vibes And Scribes,1992-06-15,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
לבד במדבר,46,4,235023,False,2022-01-01T02:29:05Z,Guy Mazig,36175,47,['israeli hip hop'],hip,השחור החדש,2015-12-23,9,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Say You'll Be There,67,2,235973,False,2022-01-01T02:21:07Z,Spice Girls,2538263,72,"['dance pop', 'europop', 'girl group', 'pop']",pop,Spice,1996-01-01,10,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
NO,72,3,213506,False,2022-01-01T02:18:34Z,Meghan Trainor,11057328,84,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",pop,Thank You (Deluxe Version),2017-05-12,17,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
באת עם השקט,42,5,167120,False,2022-01-01T02:10:34Z,Dudu Tassa,120855,50,"['israeli pop', 'israeli rock', 'israeli singer-songwriter']",pop,מתוך בחירה,2003-01-01,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Never Go Back,66,1,175424,False,2022-01-01T02:08:25Z,Dennis Lloyd,586819,73,['israeli pop'],pop,Never Go Back,2019-02-15,1,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Do It To It,95,1,157890,False,2022-01-01T02:06:17Z,ACRAZE,37213,80,[],other,Do It To It,2021-08-20,1,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
VIEWS,48,3,165861,True,2022-01-01T02:01:07Z,Noga Erez,121207,52,"['israeli hip hop', 'israeli indie']",hip,KIDS (Bonus Edition),2021-08-03,14,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
It's Raining Men,64,18,212706,False,2022-01-01T01:58:33Z,The Weather Girls,114586,60,"['disco', 'hi-nrg']",other,Hits of the 80s,1998,36,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
"Polonaise In G Minor, BWV Anh. 123 (App. C)",23,38,61853,False,2022-01-01T01:51:50Z,Johann Sebastian Bach,3481270,82,"['baroque', 'classical', 'early music', 'german baroque']",other,After Dinner with Bach,2021-12-20,410,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Stronger,83,3,311866,True,2022-01-01T01:46:38Z,Kanye West,15996958,95,"['chicago rap', 'rap']",hip,Graduation,2007-09-11,13,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Beautiful Liar,65,1,199853,False,2022-01-01T01:39:10Z,Beyoncé,29894747,87,"['dance pop', 'pop', 'r&b']",pop,B'Day Deluxe Edition,2007-05-29,23,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Skate,78,1,203122,False,2022-01-01T01:35:13Z,Bruno Mars,36721520,93,"['dance pop', 'pop']",pop,Skate,2021-07-30,2,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
זה קורה,38,7,244720,False,2022-01-01T01:33:23Z,Aric Lavie,25257,33,['classic israeli pop'],pop,דיוקן,1975-01-01,12,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Kung Fu Fighting,70,1,197693,False,2022-01-01T01:28:46Z,Carl Douglas,23498,55,['disco'],other,The Soul of the Kung Fu Fighter,2001,22,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
GDFR (feat. Sage the Gemini & Lookas),73,6,190185,False,2022-01-01T01:26:30Z,Flo Rida,8357396,82,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",pop,My House,2015-04-07,7,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Empire State Of Mind,83,5,276920,True,2022-01-01T01:23:12Z,JAY-Z,6856385,87,"['east coast hip hop', 'hip hop', 'rap']",hip,The Blueprint 3,2009-09-08,15,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
שמלה אדומה,34,2,176293,False,2022-01-01T01:17:39Z,Mofa Haarnavot Shel Dr. Kasper,11301,35,['israeli rock'],rock,"מופע הארנבות של ד""ר קספר (1993)",1993-03-14,13,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Take Me Out,80,3,237026,False,2022-01-01T01:13:57Z,Franz Ferdinand,2163166,69,"['alternative dance', 'alternative rock', 'dance rock', 'modern rock', 'new rave', 'rock', 'scottish rock']",rock,Franz Ferdinand,2004-02-16,11,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
Wrecking Ball,79,6,221360,False,2022-01-01T01:11:28Z,Miley Cyrus,16952617,86,"['dance pop', 'pop', 'post-teen pop']",pop,Bangerz (Deluxe Version),2013-10-04,16,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
תגיד לי Je T'aime,40,9,180480,False,2022-01-01T01:06:24Z,Eden Ben Zaken,405530,56,"['israeli mediterranean', 'israeli pop']",pop,חיים שלי,2019-04-14,15,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
הלילה שלך,41,1,178280,False,2021-12-31T18:38:34Z,Shimon Buskila,19787,37,['israeli singer-songwriter'],singer-songwriter,הלילה שלך,2021-11-10,1,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
love nwantiti (ah ah ah),94,2,145800,True,2022-01-01T01:02:16Z,CKay,352627,85,['afro r&b'],soul,CKay The First,2019-08-30,8,glglz,4542,NDA2MzI5LGE4YjdiMTY2NTFkZGQ4MDE5YjM0NmYxMmJiNDg2NWMwZGI0NTViZTY=
