name,popularity,track_number,duration_ms,explicit,added_at,artist_name,artist_followers,artist_popularity,genres,main_genre,main_album,release_date,album_tracks_number,station,followers,snapshot_id
אל הדרך,22,1,250373,False,2021-12-25T11:05:25Z,HaGevatron,11975,34,"['classic israeli pop', 'judaica', 'messianic praise']",pop,אל הדרך,1985-01-01,10,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
שיר דרך,28,12,296746,False,2021-12-25T10:52:26Z,Shalom Hanoch,128957,49,"['classic israeli pop', 'israeli rock', 'israeli singer-songwriter']",pop,חתונה לבנה,1981-11-01,12,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
שינויי מזג האוויר,35,5,343880,False,2021-12-25T10:43:45Z,Shlomo Artzi,398805,54,"['classic israeli pop', 'israeli rock', 'israeli singer-songwriter']",pop,דרכים,1979,9,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
עוד נפגש,33,2,258000,False,2021-12-25T10:39:10Z,Arik Einstein,365646,53,"['classic israeli pop', 'israeli rock', 'israeli singer-songwriter']",pop,ארץ ישראל הישנה והטובה חלק ה': נוסטלגיה,1984-03-01,10,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
מה הוא עושה לה,25,3,289000,False,2021-12-25T10:34:36Z,Gidi Gov,115148,51,"['classic israeli pop', 'israeli rock']",pop,שירים מלילה גוב (חלק א),1995-01-07,34,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
והפעם שיר אהבה,22,19,230173,False,2021-12-25T10:32:56Z,Teapacks,43679,40,['israeli pop'],pop,כל הלהיטים,2003-01-01,21,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
אני סימון ומואיז הקטן,35,7,234160,False,2021-12-25T10:28:57Z,Yossi Banai,30004,36,['classic israeli pop'],pop,יוסי בנאי (1979),1979-01-01,10,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
שם בכביש דימונה,1,10,272546,False,2021-12-25T10:27:56Z,Yardena Arazi,7409,34,['classic israeli pop'],pop,געגועים לנחל - משירי ארץ ישראל,2013-01-01,21,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
הכל זהב,22,1,192853,False,2021-12-25T10:16:38Z,The Roosters,3761,24,['classic israeli pop'],pop,תקליט שני,1963-10-01,13,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
סרנדה לעדה,8,5,193573,False,2021-12-25T10:11:28Z,Lehakat HaNachal,13262,32,['classic israeli pop'],pop,מהנח״ל באהבה,1966-01-01,13,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
הכל כחול,4,6,211440,False,2021-12-25T10:10:27Z,Lehakat Heyl Hayam,3821,26,['classic israeli pop'],pop,וביום השלישי,1968-01-01,20,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
תנו לנו יד ונלך,17,8,234653,False,2021-12-25T09:58:42Z,Irit Dotan,15,6,[],other,פסטיבל הזמר (1973),1973-01-01,9,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
יא ליל,19,6,203120,False,2021-12-25T09:55:06Z,Lehakat Pikud Merkaz,7337,27,['classic israeli pop'],pop,בשערייך יריחו,1985-01-01,10,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
כנרת (שם הרי גולן),3,15,159106,False,2021-12-25T09:51:36Z,Netanela,1294,15,['classic israeli pop'],pop,מבחר שירים,1994-01-01,20,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
גשר אלנבי,19,4,191493,False,2021-12-25T09:41:16Z,Yehoram Gaon,38604,39,"['classic israeli pop', 'sefardi']",pop,איפה את אהובה,1969-01-01,12,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
Emek Sheli,21,10,239826,False,2021-12-25T00:12:16Z,HaGevatron,11975,34,"['classic israeli pop', 'judaica', 'messianic praise']",pop,Sharim Mechof Lechof,1980-01-01,12,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
נערה ממש אוצר,1,3,190000,False,2021-12-25T09:31:29Z,Yardena Arazi,7409,34,['classic israeli pop'],pop,תחנה בדרך - חדש וגם ישן,1989-01-01,20,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
הקולות של פיראוס,32,1,238266,False,2021-12-25T09:22:31Z,Haim Moshe,25668,37,"['classic israeli pop', 'mizrahi']",pop,להיטי זהב - חלק ג',1992-01-01,15,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
אוריאנה,28,11,182986,False,2021-12-25T09:13:47Z,Rivka Zohar,4866,31,['classic israeli pop'],pop,רבקה זוהר,1970-01-01,16,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
עטור מצחך,42,5,247306,False,2021-12-25T09:05:42Z,Arik Einstein,365646,53,"['classic israeli pop', 'israeli rock', 'israeli singer-songwriter']",pop,משירי אברהם חלפי,1988-08-01,10,103_fm,560,OTc2NTMsMGI5ZmYxMGIxNzJlZGU1MjdiY2RlNzliZGI5ZDQ5OGFiN2Y5Y2YwMg==
